コンビニ_店舗,コンビニ_住所,コンビニ_経度,コンビニ_緯度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
セブンイレブン 和歌山直川店,和歌山県和歌山市直川字前田516-5,135.1588522,34.2076322,和歌山県和歌山市直川,有功地区,第3ブロック,北東部地域,4
セブンイレブン 和歌山和佐関戸店,和歌山県和歌山市和佐関戸字蛭池254-4,135.25834,34.2396263,和歌山県和歌山市和佐関戸,和佐地区,第4ブロック,東部地域,5
セブンイレブン 和歌山西庄南店,和歌山県和歌山市西庄347番1,135.1150875,34.2577384,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
セブンイレブン 和歌山砂山南4丁目店,和歌山県和歌山市砂山南4丁目4番13号,135.1597901,34.2137365,和歌山県和歌山市砂山南1,砂山地区,第8ブロック,中心部地域,1
セブンイレブン 和歌山八番丁店,和歌山県和歌山市西汀丁28,135.1697057,34.2306418,和歌山県和歌山市西汀丁,雄湊地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山津秦店,和歌山県和歌山市津秦169-2,135.2044551,34.2211568,和歌山県和歌山市津秦,宮地区,第6ブロック,中心部地域,1
セブンイレブン 和歌山ふじと台店,和歌山県和歌山市中591番45,135.1491684,34.2687906,和歌山県和歌山市中,貴志地区,第2ブロック,北部地域,3
セブンイレブン 和歌山松江北店,和歌山県和歌山市松江北6丁目3-22,135.1272996,34.2512038,和歌山県和歌山市松江北1,松江地区,第1ブロック,北西部地域,2
ローソン 和歌山北島店,和歌山県和歌山市北島邨内427-42,135.159977,34.2409615,和歌山県和歌山市北島,野崎地区,第2ブロック,北部地域,3
ローソン 和歌山西小二里店,和歌山県和歌山市西小二里2-879-1,135.1596333,34.2071469,和歌山県和歌山市西小二里1,雑賀地区,第7ブロック,南部地域,7
ローソン JR和歌山駅前店,和歌山県和歌山市美園町5-12-1,135.1908141,34.2313171,和歌山県和歌山市美園町2,大新地区,第10ブロック,中心部地域,1
ローソン 和歌山次郎丸店,和歌山県和歌山市向字権現3-4,135.1468175,34.2571756,和歌山県和歌山市向,貴志地区,第2ブロック,北部地域,3
ローソン 和歌山太田店,和歌山県和歌山市太田564-4,135.198613,34.229901,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
ローソン 和歌山新中島店,和歌山県和歌山市新中島字下ノ覚128-8,135.1980094,34.2168021,和歌山県和歌山市新中島,宮前地区,第6ブロック,中心部地域,1
ローソン 和歌山弘西店,和歌山県和歌山市弘西字綿瀬787-1,135.2407599,34.2771722,和歌山県和歌山市弘西,紀伊地区,第3ブロック,北東部地域,4
ローソン 和歌山大垣内店,和歌山県和歌山市大垣内字田出原671-1,135.279445,34.2448961,和歌山県和歌山市大垣内,小倉地区,第4ブロック,東部地域,5
ローソン 三葛店,和歌山県和歌山市三葛260-1,135.1858986,34.1903732,和歌山県和歌山市三葛,名草地区,第7ブロック,南部地域,7
セブンイレブン 南海和歌山市駅改札内店,和歌山県和歌山市東蔵前丁3番6,135.1667767,34.236526,和歌山県和歌山市東蔵前丁,城北地区,第9ブロック,中心部地域,1
セブンイレブン 和歌山出水店,和歌山県和歌山市鳴神816-1,135.2060954,34.2371263,和歌山県和歌山市鳴神,宮地区,第6ブロック,中心部地域,1
セブンイレブン 和歌山冬野店,和歌山県和歌山市冬野1440-1,135.2111295,34.17578590000001,和歌山県和歌山市冬野,安原地区,第5ブロック,南東部地域,6
セブンイレブン 和歌山屋形町店,和歌山県和歌山市屋形町3丁目28,135.178754,34.2273384,和歌山県和歌山市屋形町1,広瀬地区,第10ブロック,中心部地域,1
セブンイレブン 和歌山堀止東1丁目店,和歌山県和歌山市堀止東1丁目12-5,135.1716384,34.2146357,和歌山県和歌山市堀止東1,吹上地区,第8ブロック,中心部地域,1
ローソン 和歌山餌差町店,和歌山県和歌山市餌差町1-41,135.1852507,34.2284952,和歌山県和歌山市餌差町1,大新地区,第10ブロック,中心部地域,1
ローソン 和歌山栗栖店,和歌山県和歌山市栗栖徳井10-12,135.2220151,34.2373485,和歌山県和歌山市栗栖,西和佐地区,第4ブロック,東部地域,5
ローソン 和歌山田尻店,和歌山県和歌山市田尻595,135.1932854,34.2008758,和歌山県和歌山市田尻,三田地区,第5ブロック,南東部地域,6
ローソン 和歌山鳴神店,和歌山県和歌山市鳴神字南垣内13-10,135.2114745,34.2291428,和歌山県和歌山市鳴神,宮地区,第6ブロック,中心部地域,1
ローソン 和歌山紀三井寺店,和歌山県和歌山市紀三井寺字東浜855-25,135.1892299,34.1821273,和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域,7
ローソン 和歌山築港四丁目店,和歌山県和歌山市築港4-6,135.1528549,34.2217059,和歌山県和歌山市築港1,砂山地区,第8ブロック,中心部地域,1
ローソン 和歌山小豆島店,和歌山県和歌山市小豆島字梛ノ坪123-3,135.229181,34.2558734,和歌山県和歌山市小豆島,紀伊地区,第3ブロック,北東部地域,4
ローソン 和歌山松江店,和歌山県和歌山市松江字浜代688-1,135.13542,34.254707,和歌山県和歌山市松江,貴志地区,第2ブロック,北部地域,3
ローソン 和歌山磯ノ浦店,和歌山県和歌山市磯の浦市ノ坪130-1,135.0921817,34.2651636,和歌山県和歌山市磯の浦,西脇地区,第1ブロック,北西部地域,2
ローソン 和歌山松島店,和歌山県和歌山市松島349-1,135.212554,34.2454187,和歌山県和歌山市松島,四箇郷地区,第4ブロック,東部地域,5
ローソン 和歌山西高松一丁目店,和歌山県和歌山市西高松1-9-8,135.1703069,34.210291,和歌山県和歌山市西高松1,吹上地区,第8ブロック,中心部地域,1
ローソン 和歌山橋丁店,和歌山県和歌山市橋丁24,135.1690617,34.2336357,和歌山県和歌山市橋丁,城北地区,第9ブロック,中心部地域,1
ローソン 和歌山梅原店,和歌山県和歌山市梅原字神免93-3,135.1377572,34.2607123,和歌山県和歌山市梅原,貴志地区,第2ブロック,北部地域,3
ローソン 和歌山労災病院前店,和歌山県和歌山市木ノ本104,135.122396,34.2568817,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
ローソン 和歌山神前西店,和歌山県和歌山市神前字宮出166-1,135.2067905,34.2136193,和歌山県和歌山市神前,岡崎地区,第5ブロック,南東部地域,6
ローソン 和歌山吹屋町店,和歌山県和歌山市吹屋町5-40-1,135.1903201,34.2252869,和歌山県和歌山市吹屋町1,新南地区,第10ブロック,中心部地域,1
ローソン 伊太祈曽店,和歌山県和歌山市伊太祈曽92-2,135.2516424,34.205305,和歌山県和歌山市伊太祈曽,西山東地区,第5ブロック,南東部地域,6
ローソン 和歌山和田店,和歌山県和歌山市和田531-1,135.2107803,34.2023217,和歌山県和歌山市和田,三田地区,第5ブロック,南東部地域,6
ローソン 和歌山大谷東店,和歌山県和歌山市大谷105-1,135.1770813,34.2597144,和歌山県和歌山市大谷,楠見地区,第2ブロック,北部地域,3
ローソン 和歌山紀三井寺南店,和歌山県和歌山市紀三井寺541-6,135.1868341,34.1779761,和歌山県和歌山市紀三井寺,名草地区,第7ブロック,南部地域,7
ローソン 和歌山北消防署前店,和歌山県和歌山市狐島652-2,135.1442596,34.247699,和歌山県和歌山市狐島,野崎地区,第2ブロック,北部地域,3
ローソン 和歌山太田一丁目店,和歌山県和歌山市太田1-4-18,135.1937291,34.2304425,和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域,1
ローソン 和歌山友田町店,和歌山県和歌山市友田町2-130,135.185426,34.2324182,和歌山県和歌山市友田町2,大新地区,第10ブロック,中心部地域,1
ローソン 和歌山神前東店,和歌山県和歌山市神前20-1,135.2080171,34.2162999,和歌山県和歌山市神前,岡崎地区,第5ブロック,南東部地域,6
ローソン 和歌山舟津町一丁目店,和歌山県和歌山市舟津町1-12-9,135.1591363,34.2236385,和歌山県和歌山市舟津町1,砂山地区,第8ブロック,中心部地域,1
ローソン 和歌山山口谷店,和歌山県和歌山市谷32-1,135.2682809,34.2710614,和歌山県和歌山市谷,山口地区,第3ブロック,北東部地域,4
ローソン 和歌山中之島店,和歌山県和歌山市中之島298-2,135.1936011,34.2442128,和歌山県和歌山市中之島,中之島地区,第9ブロック,中心部地域,1
ローソン 和歌山鈴丸店,和歌山県和歌山市新八百屋丁5,135.1799538,34.2345194,和歌山県和歌山市新八百屋丁,大新地区,第10ブロック,中心部地域,1
ローソン 和歌山向団地前店,和歌山県和歌山市向202-1,135.1441173,34.2562735,和歌山県和歌山市向,貴志地区,第2ブロック,北部地域,3
ローソン 和歌山南インター店,和歌山県和歌山市森小手穂45-1,135.2247778,34.2054053,和歌山県和歌山市森小手穂,岡崎地区,第5ブロック,南東部地域,6
ローソン 和歌山黒田東店,和歌山県和歌山市黒田258-7,135.1975152,34.2359657,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
ローソン 和歌山アロチ店,和歌山県和歌山市北ノ新地田町7,135.1841281,34.2328706,和歌山県和歌山市北ノ新地田町,大新地区,第10ブロック,中心部地域,1
ローソン 和歌山出口甲賀丁店,和歌山県和歌山市出口甲賀丁46,135.1639056,34.22234,和歌山県和歌山市出口甲賀丁,砂山地区,第8ブロック,中心部地域,1
ローソン 和歌山狐島東店,和歌山県和歌山市狐島588-1,135.1571962,34.2472997,和歌山県和歌山市狐島,野崎地区,第2ブロック,北部地域,3
ローソン 和歌山宮街道店,和歌山県和歌山市秋月306-1,135.2052629,34.2294971,和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域,1
ファミリーマート 和歌山福島店,和歌山県和歌山市福島200番地9,135.1661451,34.2523003,和歌山県和歌山市福島,野崎地区,第2ブロック,北部地域,3
ローソン 和歌山十一番丁店,和歌山県和歌山市十一番丁1-4,135.1741868,34.2317259,和歌山県和歌山市十一番丁,城北地区,第9ブロック,中心部地域,1
ローソン 和歌山冬野店,和歌山県和歌山市冬野1373-1,135.2092942,34.1759962,和歌山県和歌山市冬野,安原地区,第5ブロック,南東部地域,6
ローソン 和歌山新堀東二丁目店,和歌山県和歌山市新堀東2-1-6,135.1740984,34.2148267,和歌山県和歌山市新堀東1,高松地区,第8ブロック,中心部地域,1
ローソン 和歌山有本西新田店,和歌山県和歌山市有本759-1,135.1884299,34.2474881,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
ローソン 和歌山岩橋店,和歌山県和歌山市岩橋556-4,135.2325156,34.2426542,和歌山県和歌山市岩橋,西和佐地区,第4ブロック,東部地域,5
ローソン 和歌山園部店,和歌山県和歌山市園部1020-1,135.1911194,34.2614854,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
ローソン 和歌山関戸店,和歌山県和歌山市関戸1-1-19,135.1684036,34.2018897,和歌山県和歌山市関戸1,雑賀地区,第7ブロック,南部地域,7
ローソン 和歌山西庄店,和歌山県和歌山市西庄561,135.1097054,34.2610602,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
ローソン 弘西バイパス店,和歌山県和歌山市弘西1202-1,135.2407599,34.2771722,和歌山県和歌山市弘西,紀伊地区,第3ブロック,北東部地域,4
