公園_公園名,公園_住所,公園_施設,公園_緯度,公園_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
岡崎中央児童遊園,和歌山県和歌山市井辺144,"和歌山市の住宅街の中にある公園です。夏限定で利用できる幼児用プールを備えた公園で、地域の親子連れの人気スポット。

また公園内の遊具も充実していて、大...",34.21780950000001,135.2115552,和歌山県和歌山市井辺,岡崎地区,第5ブロック,南東部地域,6
向団地公園プレーパーク,和歌山県和歌山市向191 向団地公園,"和歌山市北部にある市営団地付属の公園で、周辺は主に住宅や水田です。
公園では大きな木や、砂場、ブランコ、鉄製遊具等のほか、臨時設営したロープウェイや、綱...",34.2565353,135.1429782,和歌山県和歌山市向,貴志地区,第2ブロック,北部地域,3
松島公園,和歌山県和歌山市松島260,和歌山線の線路沿いにある公園です。公園内からは電車が見え、電車好きの子供には大人気の公園です。公園内には、大型の複合遊具もあり、長い時間遊んでいても飽きま...,34.2415607,135.2100843,和歌山県和歌山市松島,四箇郷地区,第4ブロック,東部地域,5
岡東公園,和歌山県和歌山市広瀬中ノ丁1丁目16番地,和歌山市の「広瀬小学校」の隣に整備されています。大きなコンクリート製の遊具が印象的で、高さがあるので、小さな子供は少し注意が必要ですが、小学生くらいの子供...,34.2252305,135.1819149,和歌山県和歌山市広瀬中ノ丁1,広瀬地区,第10ブロック,中心部地域,1
新南公園,和歌山県和歌山市木広町3-11,和歌山市の「新南小学校」のそばにある公園です。この公園の一番の見どころはなんと言っても、大きな鬼の遊具。小さな子どもはビックリしてしまうかもしれませんが、...,34.2265565,135.1883795,和歌山県和歌山市木広町2,新南地区,第10ブロック,中心部地域,1
紀ノ川第３緑地（せせらぎ広場）,和歌山県和歌山市有本地先,この公園は、「せせらぎ運動公園」「せせらぎ西1広場」「せせらぎ西2広場」の3つのエリアからなる多目的グラウンドです。「せせらぎ」というのは、紀ノ川の河川敷...,34.2303678,135.1707405,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
黒田第2公園,和歌山県和歌山市黒田112,"和歌山駅からも徒歩10分の距離にある公園です。比較的新しく整備された公園で、芝生の上に白い石が美しく並べられ、大変スタイリッシュなデザインの公園です。
...",34.23542279999999,135.1922182,和歌山県和歌山市黒田,宮北地区,第6ブロック,中心部地域,1
さんさん公園（和歌山市）,和歌山県和歌山市直川328-6,"和歌山市の北コミュニティセンター、さんさんセンター紀の川に隣接する公園です。駐車場もあり、小さな子連れには大変便利です。

遊具は、複合遊具やスプリン...",34.2592063,135.2192699,和歌山県和歌山市直川,有功地区,第3ブロック,北東部地域,4
本町公園（和歌山市）,和歌山県和歌山市北桶屋町7番地,和歌山市の市街地、「本町郵便局」や「本町幼稚園」のすぐそばに整備されている公園です。比較的大きな公園で、春には桜の名所として多くの人々がお花見を楽しむ姿が...,34.2364985,135.1751222,和歌山県和歌山市北桶屋町,本町地区,第9ブロック,中心部地域,1
松江緑地,和歌山県和歌山市松江,和歌山市の「河西緩衝緑地」を構成する5つの緑地の中の1つです。多目的運動広場、テニスコートなどのスポーツ施設もあり、噴水や広場など憩いの場所もあり、子供た...,34.2385864,135.1284047,和歌山県和歌山市松江,貴志地区,第2ブロック,北部地域,3
長町公園（和歌山市）,和歌山県和歌山市東長町9丁目8番地,"日赤の「和歌山医療センター」のすぐそばにある公園です。広々としたグラウンドが公園の中心に広がり、見通しも良く、公園の外からも中の様子が見渡せます。

...",34.2420174,135.1752453,和歌山県和歌山市東長町1,雄湊地区,第9ブロック,中心部地域,1
