title,address,longitude,latitude,Area,Group,Block,地区_コード
AEON STYLE(イオンスタイル) 和歌山店,和歌山県和歌山市中字楠谷573 イオンモール和歌山内,34.2755306,135.1492484,貴志地区,第2ブロック,北部地域,3
生鮮食品館ヒダカヤ 西脇店,和歌山県和歌山市西ノ庄359-1,34.2584653,135.1144531,木本地区,第1ブロック,北西部地域,2
生鮮食品館ヒダカヤ 黒田店,和歌山県和歌山市黒田127-5,34.2353478,135.1933232,宮北地区,第6ブロック,中心部地域,1
スーパーエバグリーン 福島店,和歌山県和歌山市福島89-1,34.2497632,135.1618798,野崎地区,第2ブロック,北部地域,3
MATSUGEN(マツゲン) 和歌山インター店,和歌山県和歌山市田屋138,34.2567822,135.2280893,紀伊地区,第3ブロック,北東部地域,4
松源 西庄店,和歌山県和歌山市西庄妙見409-1,34.2610602,135.1097054,木本地区,第1ブロック,北西部地域,2
松源 西浜店,和歌山県和歌山市西浜1026-1,34.1962961,135.1582954,雑賀地区,第7ブロック,南部地域,7
松源 内原店,和歌山県和歌山市内原763-1,34.1707115,135.1974897,名草地区,第7ブロック,南部地域,7
松源 吉礼駅前店,和歌山県和歌山市吉礼1612-2,34.203882,135.2364398,西山東地区,第5ブロック,南東部地域,6
松源 元寺店,和歌山県和歌山市元寺町5-58シティワカヤマ内,34.2397566,135.1765121,本町地区,第9ブロック,中心部地域,1
松源 木ノ本店,和歌山県和歌山市木ノ本395-3,34.2615096,135.1312465,木本地区,第1ブロック,北西部地域,2
e-ショップオークワ,和歌山県和歌山市中島185-3オークワe-ビジネス部内,34.2090903,135.1864986,宮前地区,第6ブロック,中心部地域,1
わかやま市民生協 コープ中之島店,和歌山県和歌山市中之島301-1,34.2436994,135.1932754,中之島地区,第9ブロック,中心部地域,1
エバグリーン 塩屋店,和歌山県和歌山市塩屋5-67-1,34.2011614,135.1788313,高松地区,第8ブロック,中心部地域,1
スーパーエバグリーン 宮前店,和歌山県和歌山市中島576-3,34.2156732,135.1940562,宮前地区,第6ブロック,中心部地域,1
デリシャス広岡 和歌山近鉄店,和歌山県和歌山市友田町5-46 地下1階,34.2329936,135.1894629,宮北地区,第6ブロック,中心部地域,1
スーパーエバグリーン 四ヶ郷店,和歌山県和歌山市加納295-1,34.2437267,135.2058391,四箇郷地区,第4ブロック,東部地域,5
エバグリーンプラス広瀬店,和歌山県和歌山市元町奉行丁2-66,34.2238607,135.183628,芦原地区,第10ブロック,中心部地域,1
ザ・ロウズ 小倉店,和歌山県和歌山市東田中字千内44-1,34.2303678,135.1707405,小倉地区,第4ブロック,東部地域,5
スーパーフジ 大谷店,和歌山県和歌山市大谷237-1,34.2601579,135.1723957,楠見地区,第2ブロック,北部地域,3
スーパーヒラマツ 塩屋店,和歌山県和歌山市塩屋1-79-1,34.2023058,135.1781474,高松地区,第8ブロック,中心部地域,1
スーパーヒラマツ 城東店,和歌山県和歌山市元町奉行丁2-69,34.2241468,135.1821297,芦原地区,第10ブロック,中心部地域,1
ザ・ロウズ 鳴神店,和歌山県和歌山市鳴神1019,34.2294882,135.2085022,宮地区,第6ブロック,中心部地域,1
ザ・ロウズ 川永西店,和歌山県和歌山市北183,34.2559957,135.2399563,紀伊地区,第3ブロック,北東部地域,4
ザ・ロウズ 園部店,和歌山県和歌山市園部858-1,34.2619757,135.1952648,有功地区,第3ブロック,北東部地域,4
ザ・ロウズ 太田店,和歌山県和歌山市太田100-1,34.2271901,135.1938453,宮地区,第6ブロック,中心部地域,1
ザ・ロウズ 西浜店,和歌山県和歌山市西浜938-2,34.2006664,135.1579328,雑賀地区,第7ブロック,南部地域,7
ザ・ロウズ 西庄店,和歌山県和歌山市西庄288,34.2563934,135.118398,木本地区,第1ブロック,北西部地域,2
プライスカットヒラマツ 黒田店,和歌山県和歌山市黒田193-18,34.2382168,135.193852,宮北地区,第6ブロック,中心部地域,1
ROCK STAR FARMS(ロックスターファームズ),和歌山県和歌山市東蔵前丁39 Kino wakayama 1F,34.2361653,135.1667202,城北地区,第9ブロック,中心部地域,1
イルーシー300 イオンモール和歌山店,和歌山県和歌山市中字楠谷573 イオンモール和歌山内,34.2755306,135.1492484,貴志地区,第2ブロック,北部地域,3
生鮮&業務スーパー 榎原店,和歌山県和歌山市榎原78-3,34.2544081,135.1341124,木本地区,第1ブロック,北西部地域,2
FORTE食品館,和歌山県和歌山市本町2丁目1,34.2342039,135.1740892,本町地区,第9ブロック,中心部地域,1
サンキョー北島店,和歌山県和歌山市北島320-1,34.2414527,135.1577813,野崎地区,第2ブロック,北部地域,3
サンキョー楠見店,和歌山県和歌山市市小路308-1,34.2562787,135.1718953,楠見地区,第2ブロック,北部地域,3
産直市場よってって狐島店,和歌山県和歌山市狐島607-1,34.248519,135.1540031,野崎地区,第2ブロック,北部地域,3
北野エースキーノ和歌山店,和歌山県和歌山市東蔵前丁39,34.2358255,135.1661761,城北地区,第9ブロック,中心部地域,1
NEX西庄店,和歌山県和歌山市西庄765-1,34.2567695,135.1146217,木本地区,第1ブロック,北西部地域,2
サンキョー和歌山駅前店,和歌山県和歌山市友田町4丁目130,34.2331663,135.1888384,宮北地区,第6ブロック,中心部地域,1
七曲市場,和歌山県和歌山市東長町2-30,34.2276984,135.1634224,雄湊地区,第9ブロック,中心部地域,1
株式会社サンワ 舟津店,和歌山県和歌山市湊御殿1丁目4-1,34.2204359,135.1576,砂山地区,第8ブロック,中心部地域,1
ザ・ロウズ365 西浜店,和歌山県和歌山市西浜938,34.2006664,135.1579328,雑賀地区,第7ブロック,南部地域,7
ザ・ロウズ365 鳴神店,和歌山県和歌山市鳴神1019,34.2294882,135.2085022,宮地区,第6ブロック,中心部地域,1
株式会社松源 西庄店,和歌山県和歌山市西庄490-1,34.2629764,135.1128818,木本地区,第1ブロック,北西部地域,2
ラ・ムー 直川店,和歌山県和歌山市直川539-1,34.2619326,135.2165291,有功地区,第3ブロック,北東部地域,4
